Zimbabwe	246/7	50.0	1	lost	/ci/engine/match/1153636.html	23
Bangladesh	250/3	44.1	2	won	/ci/engine/match/1153636.html	26
India	321/6	50.0	1	tied	/ci/engine/match/1157755.html	34
West Indies	321/7	50.0	2	tied	/ci/engine/match/1157755.html	38
Sri Lanka	366/6	50.0	1	won	/ci/engine/match/1140383.html	43
England	132/9	26.1	2	lost	/ci/engine/match/1140383.html	19
Bangladesh	271/8	50.0	1	won	/ci/engine/match/1153635.html	28
Zimbabwe	243/9	50.0	2	lost	/ci/engine/match/1153635.html	25
Bangladesh	271/8	50.0	1	won	/ci/engine/match/1153635.html	28
Zimbabwe	243/9	50.0	2	lost	/ci/engine/match/1153635.html	25
West Indies	322/8	50.0	1	lost	/ci/engine/match/1157754.html	39
India	326/2	42.1	2	won	/ci/engine/match/1157754.html	49
Sri Lanka	273/7	50.0	1	lost	/ci/engine/match/1140382.html	25
England	132/2	27.0	2	won	/ci/engine/match/1140382.html	12
Sri Lanka	150/9	21.0	1	lost	/ci/engine/match/1140381.html	18
England	153/3	18.3	2	won	/ci/engine/match/1140381.html	17
England	278/9	50.0	1	won	/ci/engine/match/1140380.html	30
Sri Lanka	140/5	29.0	2	lost	/ci/engine/match/1140380.html	15
Zimbabwe	228	49.3	1	lost	/ci/engine/match/1144148.html	29
South Africa	231/6	45.5	2	won	/ci/engine/match/1144148.html	24
South Africa	198	47.3	1	won	/ci/engine/match/1144147.html	27
Zimbabwe	78	24.0	2	lost	/ci/engine/match/1144147.html	8
Zimbabwe	117	34.1	1	lost	/ci/engine/match/1144146.html	19
South Africa	119/5	26.1	2	won	/ci/engine/match/1144146.html	18
Bangladesh	222	48.3	1	lost	/ci/engine/match/1153255.html	21
India	223/7	50.0	2	won	/ci/engine/match/1153255.html	19
Bangladesh	239	48.5	1	won	/ci/engine/match/1153254.html	18
Pakistan	202/9	50.0	2	lost	/ci/engine/match/1153254.html	12
Afghanistan	252/8	50.0	1	tied	/ci/engine/match/1153253.html	28
India	252	49.5	2	tied	/ci/engine/match/1153253.html	22
Bangladesh	249/7	50.0	1	won	/ci/engine/match/1153252.html	18
Afghanistan	246/7	50.0	2	lost	/ci/engine/match/1153252.html	23
Pakistan	237/7	50.0	1	lost	/ci/engine/match/1153251.html	16
India	238/1	39.3	2	won	/ci/engine/match/1153251.html	30
Afghanistan	257/6	50.0	1	lost	/ci/engine/match/1153250.html	21
Pakistan	258/7	49.3	2	won	/ci/engine/match/1153250.html	19
Bangladesh	173	49.1	1	lost	/ci/engine/match/1153249.html	15
India	174/3	36.2	2	won	/ci/engine/match/1153249.html	17
Afghanistan	255/7	50.0	1	won	/ci/engine/match/1153248.html	25
Bangladesh	119	42.1	2	lost	/ci/engine/match/1153248.html	5
Pakistan	162	43.1	1	lost	/ci/engine/match/1153247.html	12
India	164/2	29.0	2	won	/ci/engine/match/1153247.html	22
India	285/7	50.0	1	won	/ci/engine/match/1153246.html	30
Hong Kong	259/8	50.0	2	lost	/ci/engine/match/1153246.html	25
Afghanistan	249	50.0	1	won	/ci/engine/match/1153245.html	22
Sri Lanka	158	41.2	2	lost	/ci/engine/match/1153245.html	11
Hong Kong	116	37.1	1	lost	/ci/engine/match/1153244.html	11
Pakistan	120/2	23.4	2	won	/ci/engine/match/1153244.html	12
Bangladesh	261	49.3	1	won	/ci/engine/match/1153243.html	25
Sri Lanka	124	35.2	2	lost	/ci/engine/match/1153243.html	12
Ireland	124	36.1	1	lost	/ci/engine/match/1150148.html	11
Afghanistan	127/2	23.5	2	won	/ci/engine/match/1150148.html	18
U.A.E.	254/9	50.0	1	won	/ci/engine/match/1154649.html	29
Nepal	176	48.5	2	lost	/ci/engine/match/1154649.html	13
Afghanistan	182/9	50.0	1	lost	/ci/engine/match/1150147.html	13
